graph_id,num_nodes,sigma,average edges,dijkstra path,dijkstra length,approximate_tsp,approximate_tsp_length
0,5,1,1,-,-,-,-
1,5,1,1,-,-,-,-
2,5,1,1,-,-,-,-
3,5,1,1,-,-,-,-
4,5,1,1,-,-,-,-
5,5,1,1,-,-,-,-
6,5,1,1,-,-,-,-
7,5,1,1,-,-,-,-
8,5,1,1,-,-,-,-
9,5,1,1,-,-,-,-
10,5,1,2,-,-,-,-
11,5,1,2,-,-,-,-
"12,5,1,2,""[0, 1, 2, 4]"",120,""[0, 1, 2, 4, 2, 3, 2, 1, 0]"",244"
"13,5,1,2,""[0, 1, 2, 3, 4]"",268,""[0, 1, 2, 3, 4, 3, 2, 1, 0]"",536"
"14,5,1,2,""[0, 1, 2, 4]"",118,""[0, 1, 2, 4, 3, 4, 2, 1, 0]"",296"
"15,5,1,2,""[0, 2, 3, 4]"",92,""[0, 2, 3, 4, 3, 2, 1, 0]"",193"
"16,5,1,2,""[0, 1, 3, 4]"",126,""[0, 1, 3, 2, 3, 4, 3, 1, 0]"",322"
17,5,1,2,-,-,-,-
18,5,1,2,-,-,-,-
