Node1,Node2,Weight
37,38,53
21,25,59
32,33,89
13,15,34
23,25,60
3,5,81
15,19,44
34,36,28
28,32,68
6,12,36
43,45,97
19,20,85
24,26,65
22,24,76
9,13,95
23,24,81
4,7,49
16,20,48
24,27,76
8,11,84
40,43,11
30,31,81
15,17,47
10,12,43
31,32,14
10,13,33
25,28,53
27,28,63
0,2,6
41,44,51
34,38,3
19,21,27
2,5,63
30,32,26
45,47,51
26,29,23
39,43,29
1,2,59
44,48,76
20,22,33
12,13,56
16,18,12
37,39,82
46,47,46
3,6,55
45,48,83
37,41,79
22,23,77
42,43,81
36,37,14
41,43,51
22,26,36
18,21,67
9,10,11
2,4,42
36,40,73
29,30,42
14,19,37
20,25,91
31,33,89
40,41,20
2,3,26
39,42,92
29,31,61
15,18,83
46,48,54
42,44,9
8,12,51
34,37,41
42,46,42
43,46,98
20,21,40
22,27,55
14,16,58
29,33,9
12,14,79
25,29,53
41,45,37
35,36,4
1,4,82
28,29,14
42,45,82
32,36,84
15,16,80
38,40,15
44,49,79
0,4,52
6,8,58
47,48,39
39,40,52
34,35,91
31,35,5
44,45,25
0,3,94
32,35,4
14,17,79
18,19,4
5,8,48
13,16,46
10,14,82
36,39,81
36,38,52
39,41,36
46,49,75
30,33,20
12,15,65
31,34,4
39,44,55
25,27,99
44,47,98
11,14,63
37,40,49
5,9,46
20,23,90
3,7,7
4,10,22
41,42,92
17,21,31
9,11,40
4,6,9
11,12,72
12,16,52
6,10,73
13,14,24
14,18,32
1,3,57
41,46,56
43,44,70
47,49,33
45,49,52
24,28,32
43,47,37
2,6,81
33,35,14
27,29,3
7,12,84
30,34,37
27,30,48
4,5,30
19,23,70
3,4,88
7,11,79
38,42,72
16,17,48
33,37,53
7,8,9
5,7,74
7,9,16
35,37,42
23,27,74
40,42,16
29,32,3
48,49,43
10,11,67
17,19,37
27,31,31
8,9,42
5,6,78
9,12,24
7,10,14
21,23,5
11,13,15
6,9,5
0,1,67
38,39,23
8,10,20
19,22,36
23,26,87
18,22,18
16,19,65
32,34,29
40,44,61
21,22,79
13,17,91
3,8,84
33,34,18
37,42,61
14,15,26
1,6,37
45,46,8
33,36,96
35,38,50
17,18,66
28,31,0
26,28,3
25,26,64
38,41,94
44,46,5
21,24,23
31,38,19
4,8,99
6,7,26
26,27,1
28,30,62
18,20,48
22,25,45
6,13,99
24,25,9
17,20,96
